symbol,asset_type,source,score,signal,confidence,strategy,price,return_5_pct,return_20_pct,atr_pct,rsi_14,avg_dollar_volume,volume_ratio,last_bar,reason,rank,asset_label,selected
META,stock,screener:most_actives,66.49,hold,0.0,ensemble,741.85998535,10.7731,32.812,3.6731,78.14,15353531141.02,0.8995,2026-09-22T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",24,Aktie,True
SMCI,stock,screener:growth_technology_stocks,65.91,hold,0.0,ensemble,40.71900177,14.2508,15.7777,5.8537,57.66,1511966698.63,0.4134,2026-09-22T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",25,Aktie,True
CLDX,stock,screener:day_losers,65.49,short,0.7962,"ensemble[trend, momentum, breakout]",33.70500183,-12.4773,-16.9214,6.2411,28.4,39702409.19,7.6748,2026-09-22T00:00:00,"SMA20 unter SMA50, MACD und Volumen bestätigen. | Negatives Momentum -16.9%, RSI 28.4. | Abwärtsausbruch mit Volumenfaktor 7.67.",26,Aktie,True
BLLN,stock,screener:day_gainers,65.34,hold,0.0,ensemble,115.84999847,11.1058,19.754,5.1159,63.83,71829043.81,0.982,2026-09-22T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",27,Aktie,True
VNA.DE,stock,global_stocks,64.79,hold,0.0,ensemble,17.37000084,-3.5536,-12.6038,2.2802,23.13,60571371.99,1.3732,2026-09-22T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",28,Aktie,True
COMP,stock,screener:day_losers,64.48,hold,0.0,ensemble,9.68000031,-6.5637,-16.1905,5.2981,34.34,123918101.37,0.5905,2026-09-22T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",29,Aktie,True
DELL,stock,screener:day_losers,64.0,hold,0.0,ensemble,550.21002197,1.2327,27.0136,6.6703,57.35,5747279307.62,0.469,2026-09-22T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",30,Aktie,True
BLSH,stock,screener:growth_technology_stocks,63.72,hold,0.0,ensemble,40.34999847,13.7902,31.8197,6.9105,67.37,65634084.26,0.5647,2026-09-22T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",31,Aktie,True
PATH,stock,screener:most_actives,63.48,hold,0.0,ensemble,13.40499973,-5.7976,-19.1008,7.3864,39.64,792412241.2,0.3739,2026-09-22T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",32,Aktie,True
MU,stock,screener:most_actives,63.35,hold,0.0,ensemble,1081.19995117,16.5589,18.7571,4.1427,61.71,26484484317.45,0.6926,2026-09-22T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",33,Aktie,True
QCOM,stock,fallback_stocks,62.52,hold,0.0,ensemble,196.94000244,4.8669,24.905,4.8409,65.32,2804189267.37,0.3338,2026-09-22T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",34,Aktie,True
FIS,stock,screener:growth_technology_stocks,62.45,hold,0.0,ensemble,35.20000076,-5.7311,-13.9934,3.6085,27.47,207206152.65,0.2854,2026-09-22T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",35,Aktie,True
ALL,stock,screener:day_losers,62.28,short,0.7151,"ensemble[trend, momentum, breakout]",230.83000183,-10.2562,-10.9148,2.62,29.01,384298471.16,1.5021,2026-09-22T00:00:00,"SMA20 unter SMA50, MACD und Volumen bestätigen. | Negatives Momentum -10.9%, RSI 29.0. | Abwärtsausbruch mit Volumenfaktor 1.50.",36,Aktie,True
CIFR,stock,screener:most_actives,61.66,hold,0.0,ensemble,19.08499908,26.4745,24.2513,8.1433,56.4,642596143.64,0.5056,2026-09-22T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",37,Aktie,True
USO,etf,core_etfs,58.87,hold,0.0,ensemble,146.96000671,-9.2055,11.1565,3.4922,54.29,779900876.6,0.7909,2026-09-22T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",52,ETF,True
XLF,etf,core_etfs,54.84,short,0.6398,"ensemble[trend, momentum]",54.9151001,-3.0616,-5.3427,1.4807,32.85,1701664418.19,1.0909,2026-09-22T00:00:00,"SMA20 unter SMA50, MACD und Volumen bestätigen. | Negatives Momentum -5.3%, RSI 32.9.",68,ETF,True
SOXX,etf,core_etfs,51.37,hold,0.0,ensemble,567.94989014,13.8518,12.2765,2.8886,61.44,4027440865.41,0.5198,2026-09-22T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",90,ETF,True
XLK,etf,core_etfs,46.95,hold,0.0,ensemble,195.60499573,6.5817,8.766,1.5589,64.33,1279404177.79,0.6503,2026-09-22T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",113,ETF,True
SMH,etf,core_etfs,46.89,hold,0.0,ensemble,603.94000244,11.4054,10.4499,2.5954,60.76,3793507229.63,0.5442,2026-09-22T00:00:00,"Noch kein Handelssignal. Der Markt ist wegen Liquidität, Bewegung und technischer Nähe auf der Beobachtungsliste.",114,ETF,True
